sportangebot,sportangebot-detail,wochentag,uhrzeit_start,uhrzeit_ende,strasse,hausnummer,hn-zusatz,stadteil,schulnamen,zusatzinfomationen,latitude,longitude,webseite
Basketball,,Donnerstag,20:00,21:30,Luisenstr.,29,Halle 1,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 29,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/basketball-das-staedtische-freizeitsport-angebot-muenchen
Basketball,,Donnerstag,19:00,20:30,Droste-Hülshoff-Str.,9,Halle rechts,Laim,Grundschule Droste Hülshoff Straße 9,,48.1279771401509,11.5075067600768,https://www.muenchen.de/freizeit/freizeitsportprogramm/basketball-das-staedtische-freizeitsport-angebot-muenchen
Basketball,,Dienstag,20:00,21:30,Luisenstr.,29,Halle 1,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH2)  Luisenstr. 29,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/basketball-das-staedtische-freizeitsport-angebot-muenchen
Basketball,,Montag,19:00,20:30,Mariahilfplatz,18,Halle 3 / 2. OG,,Staatl. GS Mariahilfplatz,,48.1246735599684,11.5820517686975,https://www.muenchen.de/freizeit/freizeitsportprogramm/basketball-das-staedtische-freizeitsport-angebot-muenchen
Basketball,,Donnerstag,18:00,19:00,Haagerstr.,18,,BergamLaim,Grundschule an der Haagerstraße,,48.1256629590613,11.6093521360076,https://www.muenchen.de/freizeit/freizeitsportprogramm/basketball-das-staedtische-freizeitsport-angebot-muenchen
Basketball,,Donnerstag,19:00,20:00,Haagerstr.,18,,BergamLaim,Grundschule an der Haagerstraße,,48.1256629590613,11.6093521360076,https://www.muenchen.de/freizeit/freizeitsportprogramm/basketball-das-staedtische-freizeitsport-angebot-muenchen
BodyART®,,Montag,17:00,18:00,Luisenstr.,29,Halle 2,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH2)  Luisenstr. 29,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/bodyart-das-staedtische-freizeitsport-angebot-muenchen
Bodystyling,,Donnerstag,17:00,18:00,Böglstr.,10,,Perlach,Grundschule am Pfanzeltplatz 10 (EH1) Böglstraße,,48.100660948552,11.6346674370314,https://www.muenchen.de/freizeit/freizeitsportprogramm/bodystyling-das-staedtische-freizeitsport-angebot-muenchen
Bodystyling,,Donnerstag,17:00,18:00,Camerloherstr.,110,Eingang 108,Laim,Grundschule an der Camerloherstr. 110 (EH1),,48.1346189745865,11.4940686470807,https://www.muenchen.de/freizeit/freizeitsportprogramm/bodystyling-das-staedtische-freizeitsport-angebot-muenchen
Bodystyling,,Dienstag,19:00,20:30,Hildegard-von-Bingen-Anger,4,(EH1),Harthof,Grundschule am Hildegard-von-Bingen-Anger 4 (EH1),,48.2102916294354,11.5703685254972,https://www.muenchen.de/freizeit/freizeitsportprogramm/bodystyling-das-staedtische-freizeitsport-angebot-muenchen
